Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth 5Years,Profit growth 5Years,Average return on equity 5Years,Price to book value,Return on equity,Debt to equity,Sales growth 3Years,Profit growth 3Years,Pledged percentage,Historical PE 5Years,Cash from operations last year,Cash from operations preceding year,Days Receivable Outstanding,Interest Coverage Ratio,OPM,OPM last year,OPM preceding year,OPM latest quarter,OPM preceding quarter,OPM 5Year,OPM preceding year quarter,Dividend Payout Ratio,Dividend Payout
Ramky Infra,533262,RAMKY,INE874I01013,Construction,Civil Construction,347.40,12.86,2403.93,0.00,38.79,-47.18,471.23,24.26,13.66,11.82,68.44,12.65,1.11,11.13,0.27,2.69,45.03,25.70,17.37,-262.20,372.90,151.61,3.83,9.44,12.47,16.45,6.06,-0.83,17.60,20.00,2.55,2.55
Ramsons Projects,530925,,INE609D01014,Realty,"Residential, Commercial Projects",84.00,5.03,25.28,0.00,0.54,-82.41,0.00,-100.00,12.47,,-1.11,2.94,1.20,2.07,0.00,,126.80,0.00,26.38,-7.10,0.18,,,73.45,,,,,,97.26,0.00,0.00
Rana Sugars,507490,RANASUG,INE625B01014,Agricultural Food & other Products,Sugar,14.80,,227.28,0.00,-20.65,-716.21,464.45,-12.52,3.53,7.37,-50.29,9.14,0.38,0.46,0.54,2.32,-64.53,0.00,6.37,92.19,54.55,31.68,0.39,1.37,2.33,4.38,-2.34,4.57,6.15,1.30,0.00,0.00
Rander Corpn.,531228,,INE821D01031,Finance,Non Banking Financial Company (NBFC),13.40,,16.53,0.00,0.36,140.00,1.63,49.54,-8.35,27.94,,0.38,0.77,-6.50,0.03,7.68,,0.00,13.30,-1.97,-1.39,98.01,-78.00,-27.87,-40.28,18.25,30.06,-207.63,17.84,17.43,0.00,0.00
Rane (Madras),532661,RML,INE050H01012,Auto Components,Auto Components & Equipments,1295.90,29.64,3581.50,1.23,30.10,56.04,1041.62,18.29,13.95,24.97,30.47,15.46,4.77,15.35,1.00,17.94,46.51,0.00,26.23,219.07,315.75,75.19,3.85,8.75,8.83,8.33,8.34,9.12,7.77,8.49,41.15,41.15
Rane Holdings,505800,RANEHOLDIN,INE384A01010,Finance,Holding Company,1651.10,29.90,2357.77,2.85,48.27,-6.62,1586.88,18.35,9.52,23.64,25.72,6.45,2.04,7.00,0.88,18.83,4.34,0.00,27.25,279.55,513.03,66.06,3.26,6.08,7.23,7.78,6.75,7.84,7.97,7.61,68.58,68.58
Ranjeet Mechatr.,541945,,INE01A501027,Construction,Civil Construction,6.75,81.82,27.00,0.00,-0.06,-103.82,14.26,85.44,5.45,0.40,29.67,2.79,1.27,1.56,0.42,-8.25,-22.54,0.00,40.09,0.67,2.64,165.59,1.55,5.53,5.53,20.30,3.16,7.73,5.94,8.19,0.00,0.00
Ranjit Securitie,531572,,INE863D01017,Finance,Non Banking Financial Company (NBFC),59.78,804.00,16.08,0.00,0.04,-50.00,0.36,33.33,1.87,4.99,-21.84,2.62,2.66,1.17,0.00,28.14,-28.31,0.00,236.54,0.14,-0.82,0.00,,-1.75,-1.85,42.97,2.78,-59.38,4.18,7.41,0.00,0.00
Rap Corp,531583,,INE483D01014,Realty,Real Estate related services,33.61,0.45,19.77,0.00,0.06,117.65,0.00,,133.49,,117.92,57.54,0.36,133.91,0.00,,279.91,0.00,0.41,6.87,4.68,0.86,,67.68,62.45,,,,,,0.00,0.00
Rapicut Carbides,500360,,INE350D01015,Industrial Manufacturing,Industrial Products,347.60,16.04,186.66,0.00,8.17,679.43,82.04,690.37,11.29,28.01,35.17,-2.20,8.60,9.98,0.00,34.50,52.20,0.00,66.11,11.77,-3.90,23.69,25.07,8.81,3.11,-2.50,13.03,0.95,1.20,-10.79,0.00,0.00
Rapid Fleet,,RAPIDFLEET,INE0QX901013,Transport Services,Logistics Solution Provider,233.00,13.87,173.23,0.00,8.35,155.96,129.29,47.91,19.22,,,25.50,2.12,16.57,0.21,24.65,37.74,0.00,11.20,7.81,0.92,107.40,10.08,13.16,13.16,11.81,13.10,13.27,12.01,,0.00,0.00
Rapid Invest.,501351,,INE154M01012,Commercial Services & Supplies,Diversified Commercial Services,92.00,131.87,19.78,0.00,0.15,-6.25,0.69,25.45,6.07,30.23,,3.06,1.75,1.43,0.00,96.72,74.72,0.00,53.49,-1.84,1.51,0.00,,-4.55,28.39,19.89,17.39,-28.95,22.59,23.64,0.00,0.00
Rapid Multimodal,544237,,INE0QA901010,Transport Services,Logistics Solution Provider,132.00,26.62,50.31,0.00,1.41,42.42,73.33,23.85,16.95,,,29.13,3.12,12.46,0.00,25.28,-1.87,0.00,10.68,0.26,-0.90,38.51,64.25,1.74,1.74,3.06,2.51,0.92,2.89,,0.00,0.00
Rappid Valves,,RAPPID,INE0MVO01012,Industrial Products,Other Industrial Products,309.50,24.80,160.69,0.00,3.10,-14.84,24.41,-24.92,16.22,,,,3.11,13.37,0.35,48.06,141.51,0.00,23.26,-10.83,-12.82,170.26,7.51,19.37,19.37,19.05,19.62,19.15,18.70,,0.00,0.00
Ras Resorts,507966,,INE651D01016,Leisure Services,Hotels & Resorts,54.75,38.12,21.73,0.00,0.16,33.33,3.64,23.39,4.71,24.03,27.23,1.14,1.10,2.67,0.08,0.72,277.98,0.00,52.31,1.39,1.28,0.00,3.60,11.57,11.86,9.87,11.81,8.35,10.01,13.22,0.00,0.00
Rasandik Engg.,522207,,INE682D01011,Auto Components,Auto Components & Equipments,57.70,,34.48,0.00,-0.71,36.61,17.60,26.89,-3.44,-13.15,-3.69,-8.58,0.39,-7.33,0.25,-23.32,2.12,0.26,15.46,2.22,4.65,22.19,-1.44,1.74,1.69,-2.95,4.26,-1.63,2.73,4.61,0.00,0.00
Rashi Peripheral,544119,RPTECH,INE0J1F01024,IT - Hardware,Computers Hardware & Equipments,823.65,17.14,5469.51,0.24,104.57,67.60,5101.85,61.85,17.00,21.71,16.32,15.95,2.68,14.73,0.49,18.74,31.06,0.00,10.68,113.69,-299.18,50.37,5.02,2.87,2.93,2.21,3.04,2.95,2.73,3.28,4.75,4.75
Rasi Electrodes,531233,,INE822D01021,Industrial Manufacturing,Industrial Products,12.37,10.73,38.51,1.62,1.33,5.56,17.64,-9.17,12.86,12.79,22.23,9.23,0.99,9.50,0.00,-6.29,5.36,0.00,18.50,6.43,4.57,57.72,164.00,5.38,5.04,4.63,9.13,1.89,4.61,7.47,17.70,17.70
Rategain Travel,543417,RATEGAIN,INE0CLI01024,IT - Software,Computers - Software & Consulting,851.15,38.60,10088.93,0.00,94.91,102.24,785.01,187.63,13.88,48.70,54.88,11.56,5.01,11.88,0.47,47.77,48.09,0.00,53.93,233.71,119.97,94.36,8.24,19.67,18.93,21.72,21.85,20.55,18.56,18.20,0.00,0.00
Rathi Bars,532918,,INE575I01016,Industrial Products,Iron & Steel Products,16.27,,26.57,0.00,-15.62,-1959.52,0.00,-100.00,-3.53,2.63,,0.01,0.31,-12.70,1.01,-8.58,,0.00,14.09,1.42,-2.96,86.23,-3.84,-8.04,-0.68,2.69,,-59.26,2.18,2.37,0.00,0.00
Rathi Steel,504903,,INE336C01016,Industrial Products,Iron & Steel Products,22.18,13.24,191.55,0.00,3.48,84.13,193.41,24.55,10.98,10.88,106.69,,1.28,9.25,0.30,-0.48,2.33,0.00,25.07,-1.32,-11.06,28.82,2.86,3.96,3.97,4.38,3.89,4.00,4.40,3.94,0.00,0.00
Ratnabhumi Dev.,540796,,INE821Y01011,Realty,"Residential, Commercial Projects",174.00,193.80,238.38,0.00,0.07,-95.50,13.61,-52.26,11.04,72.19,30.80,5.15,5.42,7.40,2.75,,139.00,0.00,83.27,12.25,89.81,0.95,1.09,41.22,29.42,9.52,49.82,24.01,-315.83,19.89,0.00,0.00
Ratnamani Metals,520111,RATNAMANI,INE703B01027,Industrial Products,Iron & Steel Products,2727.00,43.56,19114.09,0.37,107.02,-37.67,971.63,-15.63,17.91,14.35,12.14,16.93,4.65,12.63,0.08,0.15,-1.41,0.00,35.42,936.01,536.22,82.31,26.59,16.96,16.86,15.88,16.69,14.16,16.77,16.34,14.53,14.53
Ratnaveer Precis,543978,RATNAVEER,INE05CZ01011,Industrial Products,Iron & Steel Products,304.75,37.84,2557.66,0.00,18.24,22.01,314.64,18.90,12.29,24.34,63.76,15.26,3.64,12.37,0.50,30.60,36.96,0.00,19.64,-48.41,94.93,59.65,4.36,10.49,10.50,9.69,10.23,11.38,9.29,10.21,0.00,0.00
RattanIndia Ent,534597,RTNINDIA,INE834M01019,Retailing,E-Retail/ E-Commerce,27.82,,3845.47,0.00,14.73,-97.00,1870.48,-19.14,-4.76,844.85,,9.90,5.00,-19.57,1.43,22.23,,14.10,18.65,-55.52,306.41,3.22,-8.59,-8.50,-1.10,3.68,2.14,-6.03,3.31,26.32,0.00,0.00
RattanIndia Pow.,533122,RTNPOWER,INE399K01017,Power,Power Generation,7.36,35.48,3952.40,0.00,45.85,449.73,798.55,-2.85,6.21,13.91,15.50,,0.85,1.14,0.80,-2.54,26.58,0.00,44.85,372.18,409.95,336.45,1.28,14.62,13.56,17.80,15.65,16.46,19.70,11.76,0.00,0.00
Raunaq Intl.,537840,,INE523K01012,Construction,Civil Construction,43.30,,14.48,0.00,-0.34,-138.20,9.75,2.52,0.45,29.57,-9.71,-13.27,1.84,-7.18,0.61,84.18,19.54,0.00,11.15,-4.44,-0.97,112.59,-1.00,-8.05,-0.61,2.47,-9.13,-13.71,-13.63,7.99,0.00,0.00
Ravelcare,544629,,INE0W4D01018,Personal Products,Personal Care,112.95,15.04,77.47,0.00,1.95,30.00,12.56,-13.85,29.61,,117.63,,2.07,21.57,0.00,97.85,109.51,0.00,15.70,-17.47,-0.55,96.29,,26.20,26.20,27.42,21.66,,26.73,,0.00,0.00
Ravi Leela Gran,526095,,INE427E01027,Other Construction Materials,Other Construction Materials,54.06,6.35,57.23,0.00,2.39,-27.58,19.63,50.54,20.89,12.33,31.28,-6.89,2.62,58.34,2.66,24.84,43.53,0.00,12.27,-5.48,-2.28,216.71,5.29,20.12,22.91,0.63,22.92,15.92,14.63,36.58,0.00,0.00
Ravikumar Distll,533294,RKDL,INE722J01012,Beverages,Breweries & Distilleries,18.39,35.31,44.14,0.00,0.07,133.33,3.69,-11.08,1.56,147.16,17.36,-2.04,1.05,2.88,1.09,-11.05,43.71,0.00,337.50,1.76,-0.44,513.77,9.19,-6.25,-5.17,-2.45,-25.20,11.00,-7.80,-17.35,0.00,0.00
Ravinder Heights,543251,RVHL,INE09E501017,Realty,"Residential, Commercial Projects",39.84,5.12,244.32,0.00,-1.69,-225.00,0.01,-92.31,21.99,351.63,64.09,3.59,0.67,16.21,0.00,84.13,102.47,0.00,26.41,35.76,-8.04,0.00,436.87,81.78,83.00,-6872.73,-29900.00,-42300.00,62.03,-1492.31,0.00,0.00
Ravindra Energy,504341,RELTD,INE206N01018,Electrical Equipment,Other Electrical Equipment,161.37,53.68,3204.19,0.00,1.64,-92.75,119.97,-26.24,15.89,12.31,71.79,15.04,7.58,21.18,1.19,29.07,73.10,20.41,44.51,171.85,70.90,26.82,2.88,28.22,24.12,17.06,31.76,25.27,11.07,17.14,0.00,0.00
Raw Edge Indust.,541634,,INE960Z01014,Minerals & Mining,Industrial Minerals,15.47,38.90,15.56,0.00,0.25,192.59,10.83,34.70,1.97,-4.01,-11.76,-2.53,0.75,-3.02,0.80,-12.17,,0.00,56.27,3.76,8.65,64.86,1.10,6.71,7.21,6.81,6.19,6.60,7.25,7.59,0.00,0.00
Raymond,500330,RAYMOND,INE301A01014,Industrial Manufacturing,Industrial Products,740.85,29.33,4932.11,0.00,30.85,1.85,605.61,15.51,3.14,-8.49,84.74,97.23,1.73,167.82,0.37,-35.42,109.14,0.00,10.83,41.77,233.14,85.92,2.27,11.08,10.47,6.78,12.72,12.33,11.70,10.35,0.00,0.00
Raymond Lifestyl,544240,RAYMONDLSL,INE02ID01020,Textiles & Apparels,Other Textile Products,663.65,27.10,4043.20,0.15,-22.59,-13.98,1515.51,5.95,3.52,,,,0.42,1.14,0.23,,,23.74,73.10,546.23,404.30,50.09,1.78,9.63,9.84,7.83,5.93,6.67,,5.38,13.19,13.19
Raymond Realty,544420,RAYMONDREL,INE1SY401010,Realty,"Residential, Commercial Projects",529.15,11.68,3522.75,0.38,13.43,-18.61,526.67,38.42,29.61,,,,2.25,36.31,0.65,,,7.34,13.25,-909.96,-236.60,27.53,3.83,15.24,14.95,10.79,11.61,20.25,,7.84,4.37,4.37
Rays of Belief,,,INE1FCO01014,,,,100.72,499.55,,,,,,,,,,,16.10,0.30,,,,,-1.94,,80.86,5.49,15.14,15.14,,,,,,0.00,0.00
RBL Bank,540065,RBLBANK,INE976G01028,Banks,Private Sector Bank,414.35,73.38,64263.17,0.24,253.70,26.64,3840.25,11.60,5.77,11.47,10.08,4.90,1.54,5.11,9.38,14.00,-2.33,0.00,13.63,7577.00,-846.35,0.00,1.13,35.92,35.77,33.17,40.36,33.80,34.09,33.47,7.52,7.52
RBM Infracon,,RBMINFRA,INE0NA301016,Commercial Services & Supplies,Diversified Commercial Services,236.90,5.56,251.90,0.00,18.36,-6.18,208.22,-4.65,28.20,66.29,104.82,25.15,1.28,27.57,0.76,80.87,173.63,0.00,15.50,-25.58,-3.44,82.68,11.31,14.95,14.95,13.35,17.04,13.41,13.35,13.51,0.00,0.00
RBZ Jewellers Lt,544060,RBZJEWEL,INE0PEQ01016,Consumer Durables,"Gems, Jewellery And Watches",200.69,14.14,802.76,0.00,9.09,27.67,120.80,59.83,21.98,42.85,42.12,19.17,2.68,20.12,0.57,30.27,34.80,0.00,16.06,-7.33,-14.94,32.02,5.87,14.20,14.52,12.20,14.83,11.16,12.79,17.17,0.00,0.00
RDB Infrastruc.,533285,,INE245L01028,Realty,"Residential, Commercial Projects",14.45,22.68,323.19,0.00,4.44,63.24,28.41,-57.95,7.27,25.66,62.35,5.10,1.14,6.09,0.08,20.57,65.54,0.00,43.06,-66.34,-82.16,175.77,13.97,1.95,2.83,5.91,2.15,3.10,4.53,3.70,0.00,0.00
RDB Rasayans,533608,,INE123M01017,Industrial Products,Packaging,164.15,7.86,290.79,0.00,11.60,35.36,31.93,14.08,19.60,4.97,11.93,14.43,1.18,14.44,0.00,2.47,11.79,0.00,8.59,-20.53,-11.53,64.85,712.14,19.97,18.29,10.24,28.06,7.38,14.88,22.12,0.00,0.00
RDB Real Estate,544346,RRECL,INE0AK901016,Realty,"Residential, Commercial Projects",136.83,,359.98,0.00,-13.47,-4061.76,39.48,98.89,2.95,,,,1.45,-4.54,2.24,61.45,,0.00,0.55,-38.91,138.35,48.14,0.35,5.41,9.94,29.45,-9.65,2.86,,28.97,0.00,0.00
Readymix Cons.,,READYMIX,INE10QL01011,Construction,Civil Construction,76.00,11.13,83.28,0.00,6.71,-39.77,62.96,13.18,15.99,27.68,58.83,22.72,1.21,11.53,0.25,18.18,39.09,0.00,11.42,-12.96,-13.39,174.40,6.35,13.94,13.94,19.98,16.42,8.32,14.46,,0.00,0.00
Real Eco-Energy,530053,,INE055E01034,Petroleum Products,Refineries & Marketing,4.58,42.02,45.80,0.00,-0.07,90.91,0.51,,4.56,,5.23,1.64,6.77,6.09,0.00,-28.39,171.44,0.00,201.00,2.94,0.61,656.71,,36.67,16.06,21.79,-13.73,-3.20,,,0.00,0.00
Real Touch Fin,538611,,INE840I01014,Finance,Other Financial Services,42.87,10.86,54.41,0.00,1.16,-13.43,8.63,5.50,11.13,76.77,29.23,7.93,1.04,10.45,4.44,55.65,25.59,0.00,15.23,33.42,-26.07,0.00,1.34,68.80,67.82,70.13,84.36,66.61,70.76,71.64,0.00,0.00
REC Ltd,532955,RECLTD,INE020B01018,Finance,Financial Institution,318.70,5.23,83920.85,5.82,4192.76,-6.11,14434.92,-2.05,9.71,10.88,14.27,21.06,0.99,20.12,6.10,14.70,13.50,0.00,5.55,5971.57,-39064.08,1.80,1.57,95.26,95.69,96.18,96.90,91.55,95.44,98.53,29.95,29.95
Recode Studios,544755,,INE2B6701015,Personal Products,Personal Care,336.05,31.88,357.70,0.00,7.34,307.78,43.01,47.80,73.89,,,,,78.00,0.31,52.87,153.35,0.00,14.81,4.34,3.14,70.22,22.44,20.69,20.69,12.93,24.65,,,,1.81,1.81
Redington,532805,REDINGTON,INE891D01026,Commercial Services & Supplies,Trading & Distributors,371.30,16.13,29027.28,1.62,453.49,76.55,34922.47,34.57,18.39,15.91,15.87,17.51,2.86,16.86,0.28,14.50,4.61,0.00,12.19,231.35,292.62,66.07,7.05,1.98,1.97,2.17,2.03,1.85,2.35,1.54,31.48,31.48
Redtape,543957,REDTAPE,INE0LXT01019,Consumer Durables,Footwear,120.43,27.02,6657.46,1.66,44.48,15.23,481.28,3.65,24.48,,,25.87,6.52,26.65,0.70,18.10,19.30,0.00,45.48,174.01,4.30,31.72,6.07,17.01,14.61,10.87,17.36,16.50,14.70,16.59,45.96,45.96
Reetech Intl,543617,,INE0MKO01015,Consumable Fuels,Trading - Coal,15.50,,6.55,0.00,0.69,113.66,0.00,-100.00,-0.44,,,3.22,0.54,-2.10,0.06,,,0.00,10.21,-1.04,-0.52,-4015.00,-0.19,-411.11,-411.11,-6.37,,,1.06,,0.00,0.00
Refex Industries,532884,REFEX,INE056I01025,Other Utilities,Waste Management,282.55,13.59,3877.14,0.53,64.56,145.38,916.31,160.42,22.71,29.19,42.66,,2.58,17.81,0.15,11.80,27.70,43.51,17.63,107.14,-248.50,142.08,11.16,15.04,15.89,9.12,11.67,17.08,,10.48,6.75,6.75
Refex Renewables,531260,,INE332F01018,Construction,Civil Construction,337.35,,151.74,0.00,-3.14,59.05,22.20,32.62,3.27,-1.76,-13.63,,,,,-4.92,-41.73,42.66,,15.85,27.03,21.74,0.37,41.40,41.21,47.55,53.02,44.55,27.83,51.91,0.00,0.00
Refractory Shap.,,REFRACTORY,INE0TNX01015,Industrial Products,Electrodes & Refractories,25.25,11.49,55.05,0.00,0.15,-95.18,22.61,-35.84,10.68,,,,1.09,9.96,0.39,14.53,35.63,0.00,20.17,1.44,1.06,73.40,6.64,13.97,13.97,17.55,2.52,21.52,,,0.00,0.00
Regaal Resources,544485,REGAAL,INE0MHO01029,Agricultural Food & other Products,Other Agricultural Products,88.51,14.05,911.60,0.28,13.33,46.97,202.15,-18.02,12.05,36.22,37.16,20.15,1.86,16.52,1.26,32.46,53.43,0.00,13.40,69.98,-11.20,20.95,3.88,12.21,11.16,12.32,15.33,13.29,10.88,9.92,4.62,4.62
Regal Entertain.,531033,,INE101E01010,Finance,Non Banking Financial Company (NBFC),17.67,82.84,15.74,0.00,-0.06,66.67,0.13,62.50,1.48,58.49,,5.56,6.81,2.19,0.07,115.44,54.20,0.00,204.25,-1.22,1.77,0.00,14.00,4.95,-40.00,69.77,-46.15,45.95,9.85,-525.00,0.00,0.00
Reganto Enterprises,517393,,INE043B01028,IT - Hardware,Computers Hardware & Equipments,4.76,15.44,69.64,0.00,-1.91,-140.64,4.04,-94.73,17.19,78.07,41.50,,0.70,13.53,0.00,131.38,141.87,0.00,7.49,-22.43,-7.76,1642.11,,4.35,6.40,7.94,-47.28,4.91,7.48,7.61,0.00,0.00
Regency Ceramics,515018,REGENCERAM,INE277C01012,Consumer Durables,Ceramics,34.86,,92.17,0.00,-2.57,-31.12,18.33,172.77,-116.47,,,,,,,885.37,,0.00,83.87,-34.29,-13.46,183.22,-39.75,-69.14,-61.12,-99.70,-83.25,-104.44,,-61.76,0.00,0.00
Regency Fincorp,540175,,INE964R01013,Finance,Other Financial Services,46.69,24.01,414.82,0.00,7.03,122.47,16.14,107.99,10.51,45.09,96.34,7.92,2.33,9.51,0.97,36.63,144.34,0.00,19.64,27.67,11.39,0.00,2.78,74.35,69.04,72.92,83.09,59.34,74.15,68.81,0.00,0.00
Regent Enterp.,512624,,INE769D01016,Commercial Services & Supplies,Trading & Distributors,5.56,4.89,18.60,0.00,2.53,-0.61,138.27,-42.07,10.90,15.14,28.19,2.44,0.43,8.81,0.04,14.97,64.85,0.00,6.19,3.46,0.32,8.40,,0.52,0.47,0.82,1.27,-0.79,0.03,0.75,0.00,0.00
Regis Industries,543208,,INE745R01024,Finance,Non Banking Financial Company (NBFC),2.07,44.16,53.43,0.00,1.98,29.41,5.83,106.74,2.86,77.44,52.81,-0.47,1.98,2.86,0.00,-41.34,62.65,0.00,193.00,-2.51,-9.35,0.00,,11.99,7.53,-1.08,33.96,-41.62,-1.02,47.87,0.00,0.00
Rekvina Labs,526075,,INE092O01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,53.83,,59.84,0.00,-0.12,-200.00,0.67,,-333.33,,,,,,,,,0.00,,-0.59,-0.19,0.00,,-17.01,-19.69,,-17.91,-8.33,,,0.00,0.00
Rel. Chemotex,503162,RELCHEMQ,INE750D01016,Textiles & Apparels,Other Textile Products,116.73,15.81,88.06,0.43,1.37,29.25,98.82,6.99,7.34,7.21,-5.64,7.08,0.62,3.76,1.87,-0.16,-25.54,9.79,17.47,21.65,10.81,9.69,1.21,11.06,11.24,9.04,10.92,10.17,10.16,11.65,7.17,7.17
Rel. Indl. Infra,523445,RIIL,INE046A01015,Transport Services,Logistics Solution Provider,750.95,93.48,1133.93,0.47,2.84,-8.39,8.64,-30.66,3.01,-3.51,5.13,2.54,2.39,2.65,0.00,-12.61,4.01,0.00,127.69,-35.69,-3.03,23.47,,-21.49,-16.97,-24.05,-37.27,-14.83,-6.52,-15.97,42.66,42.66
Relaxo Footwear,530517,RELAXO,INE131B01039,Consumer Durables,Footwear,344.75,46.31,8582.16,1.02,54.94,12.35,705.05,7.73,11.18,2.75,-8.96,9.78,3.89,8.33,0.11,-0.98,4.67,0.00,103.14,348.25,406.01,40.37,12.28,13.90,13.94,13.80,15.35,16.51,13.94,15.20,48.59,48.59
Reliable Data,544207,RELIABLE,INE375Y01018,Finance,Other Financial Services,140.88,15.79,145.39,0.03,2.39,46.43,57.57,45.93,12.16,33.04,32.70,11.90,2.04,10.81,0.35,36.46,19.85,0.00,14.28,26.80,-27.83,184.59,4.60,9.21,9.44,13.02,7.92,4.96,12.35,10.82,0.00,0.00
Reliable Ventur.,532124,,INE419H01019,Leisure Services,Hotels & Resorts,26.00,,28.63,0.00,-0.18,61.70,0.00,,-2.82,,-9.43,-1.35,0.94,-2.87,0.00,,6.83,0.00,6.96,-0.61,-0.61,,,,,-1600.00,,,7.65,,0.00,0.00
Reliance Communi,532712,RCOM,INE330H01018,Telecom - Services,Telecom - Cellular & Fixed line services,0.81,,224.01,0.00,-809.00,61.76,74.00,-10.84,,-16.20,14.23,,,,,-13.13,25.53,0.00,,-14.00,26.00,358.03,-5.57,-56.07,-60.83,-3.07,27.03,-129.63,-14.07,-2.41,0.00,0.00
Reliance Home,540709,RHFL,INE217K01011,Finance,Housing Finance Company,1.82,,88.28,0.00,-0.69,89.78,0.00,-100.00,-432.21,-83.11,14.75,,,,,-90.91,25.98,0.00,0.03,8.99,-21.79,0.00,-3.58,-1463.64,-1463.64,-380.65,,-11050.00,113.37,-2944.44,0.00,0.00
Reliance Industries,500325,RELIANCE,INE002A01018,Petroleum Products,Refineries & Marketing,1322.00,23.94,1789001.13,0.45,23196.00,2.02,309468.00,27.02,10.26,17.76,11.98,8.64,1.98,8.91,0.45,6.40,5.23,0.00,25.45,192113.00,178703.00,20.22,5.11,16.34,16.96,17.20,15.35,15.01,16.89,17.61,10.05,10.05
Reliance Infra.,500390,RELINFRA,INE036A01016,Power,Integrated Power Utilities,57.02,1.02,2330.02,0.00,767.79,409.43,6344.27,7.39,15.44,3.59,16.60,5.81,0.13,14.26,0.28,-1.89,72.77,0.00,2.04,2550.22,3656.67,20.39,3.17,2.92,4.91,15.40,-2.42,-18.02,9.27,4.06,0.00,0.00
Reliance Power,532939,RPOWER,INE614G01033,Power,Power Generation,22.08,2543.67,9131.78,0.00,64.71,44.83,1956.32,3.75,6.11,-0.81,,-7.52,0.57,-0.90,0.92,0.47,23.80,0.00,47.09,2824.36,1937.92,62.76,1.17,30.70,31.03,28.25,28.75,30.54,26.99,29.97,0.00,0.00
Relic Tech.,511712,,INE452B01013,Finance,Other Financial Services,68.00,,38.02,0.00,-1.03,45.97,0.35,-72.66,-34.29,19.66,,-13.98,2.50,-28.72,0.15,29.50,,0.00,17.85,-16.82,-0.53,74.93,-46.22,-266.09,-121.70,-50.00,-331.43,-206.38,-45.19,-112.50,0.00,0.00
Relicab Cable,539760,,INE773T01014,Electrical Equipment,Other Electrical Equipment,37.71,21.39,38.07,0.00,0.42,-22.22,17.19,59.91,17.82,34.50,34.16,11.72,2.47,13.10,0.96,22.94,9.43,99.94,45.47,0.29,2.92,98.97,1.70,6.41,6.65,10.57,7.68,5.24,8.50,9.95,0.00,0.00
Religare Enterp.,532915,RELIGARE,INE621H01010,Finance,Investment Company,257.08,178.86,8862.42,0.00,-46.98,-356.16,2353.40,26.43,3.50,27.48,16.76,,2.94,3.18,0.17,21.83,70.78,0.00,73.28,1819.96,1523.47,5.13,1.11,0.73,1.84,4.82,-2.08,5.78,3.33,0.82,0.00,0.00
Remedium Life,539561,,INE549S01036,Commercial Services & Supplies,Trading & Distributors,0.27,11.18,23.81,0.00,8.62,,111.06,,,,,,0.23,4.85,10.34,,,0.00,44.50,-1134.81,,694.98,1.57,0.31,0.31,,6.65,1.65,,,0.00,0.00
Remi Edelstahl,513043,,INE158G01015,Industrial Products,Iron & Steel Products,249.35,105.55,314.54,0.00,0.45,114.29,35.19,32.19,6.24,11.52,62.46,3.03,4.53,3.72,0.76,1.66,142.91,0.00,60.06,-22.14,23.02,60.59,2.75,5.96,5.82,5.90,5.29,6.30,5.38,2.70,0.00,0.00
Remsons Ind,530919,REMSONSIND,INE474C01023,Auto Components,Auto Components & Equipments,99.35,19.45,346.52,0.20,3.23,-20.88,119.72,20.16,15.47,15.69,47.40,14.86,2.33,13.54,0.66,14.43,29.82,0.00,31.32,59.94,22.26,58.88,4.03,10.10,10.57,9.92,8.72,8.42,9.36,10.63,1.93,1.93
Remus Pharma.,,REMUS,INE0O5T01011,Pharmaceuticals & Biotechnology,Pharmaceuticals,890.05,28.35,1048.83,0.06,24.58,21.74,453.43,30.39,16.83,,,,2.99,12.19,0.08,,,0.00,36.94,18.16,6.99,59.79,41.24,6.64,6.64,7.37,6.57,6.72,,,1.59,1.59
Renaiss. Global,532923,RGL,INE722H01024,Consumer Durables,"Gems, Jewellery And Watches",149.26,14.69,1602.58,0.00,25.64,65.82,780.45,47.17,8.00,6.73,18.63,7.79,1.06,6.88,0.43,7.94,4.14,0.00,13.93,53.73,-3.40,109.08,3.78,6.53,6.95,7.96,5.24,7.48,7.65,6.83,0.00,0.00
Renol Polychem,,RNPL,INE0VZX01015,Chemicals & Petrochemicals,Specialty Chemicals,79.00,11.57,95.47,0.00,5.87,109.64,49.92,49.28,14.50,,,,0.88,13.56,0.16,,,0.00,11.85,-40.20,-1.28,265.10,39.52,13.07,13.07,11.48,16.89,,,,0.00,0.00
Rentomojo,,,INE08T701025,,,,24.79,2650.04,,,,,,,29.66,28.22,,,,,47.32,167.24,,,172.87,115.55,,3.77,41.07,41.07,42.28,,,33.70,,0.00,0.00
Repco Home Fin,535322,REPCOHOME,INE612J01015,Finance,Housing Finance Company,358.75,4.66,2244.39,2.09,121.62,5.63,467.70,6.23,10.17,5.43,9.63,12.95,0.56,12.73,3.02,11.71,14.56,0.00,5.88,-896.20,-613.70,0.00,1.59,88.61,89.32,91.69,87.49,89.22,86.71,90.32,9.87,9.87
